FIPSCode,Jurisdiction,State_Full,State_Abbr,TotReg,,,TotAct,TotIn,AllowSameDay,TotSameDay,TotRegForms,NewValRegForms,NewPreRegForms,DupRegForms,InvRejectRegForms,ChangeRegForms,CrossJurChangeRegForms,InvRegMail,InvRegPerson,InvRegOnline,InvRegDMV,InvRegNVRA,InvRegAgenciesDisab,InvRegArmedForces,InvRegNonNVRA,InvRegDrives,InvRegOther,TotVotersRem,VotRemMove,VotRemDeath,VotRemFelon,VotRemFail,VotRemMent,VotRemReq,VotRemOth1,VotRemOth2,VotRemOth3,VotRemOther
100100000,Autauga County,Alabama,AL,39770,,,36391,3379,,,21117,8739,,,171,12207,,2,8,1,91,48,2,0,8,1,0,2678,592,774,59,862,0,6,,385,,385
100300000,Baldwin County,Alabama,AL,155127,,,141301,13826,,,86974,33913,,,623,52438,,42,14,35,330,94,8,0,25,12,0,14145,3221,3712,137,5770,0,22,296,985,2,1283
100500000,Barbour County,Alabama,AL,17323,,,15871,1452,,,6982,2203,,,41,4738,,0,3,0,17,4,2,0,0,1,0,1409,314,496,67,418,0,0,108,1,5,114
100700000,Bibb County,Alabama,AL,14244,,,13245,999,,,9486,4168,,,1,5317,,0,0,0,1,0,0,0,0,0,0,886,141,411,59,164,0,0,111,,,111
100900000,Blount County,Alabama,AL,39687,,,37352,2335,,,21629,9480,,,44,12105,,1,0,6,34,3,0,0,0,0,0,2350,323,1022,296,249,0,0,458,2,,460
101100000,Bullock County,Alabama,AL,7472,,,6772,700,,,3076,754,,,25,2297,,0,2,0,17,1,0,0,1,2,0,469,95,236,22,74,0,0,41,1,,42
101300000,Butler County,Alabama,AL,14079,,,13161,918,,,7107,3286,,,52,3769,,0,2,3,19,9,0,0,3,13,0,1084,178,403,45,406,0,0,52,,,52
101500000,Calhoun County,Alabama,AL,76168,,,69851,6317,,,29984,9814,,,182,19988,,2,4,5,132,30,4,0,1,0,0,5844,1347,2132,455,1149,7,6,727,20,1,748
101700000,Chambers County,Alabama,AL,24367,,,22474,1893,,,8270,3308,,,24,4938,,1,4,3,12,0,0,0,0,1,0,2214,526,610,155,526,1,0,393,3,,396
101900000,Cherokee County,Alabama,AL,17893,,,16808,1085,,,7194,2658,,,51,4485,,0,2,3,11,16,5,0,0,8,0,1196,392,500,93,152,1,0,58,,,58
102100000,Chilton County,Alabama,AL,28694,,,26080,2614,,,9627,3229,,,23,6375,,0,1,3,13,4,0,0,1,1,0,2053,304,767,310,473,0,2,195,1,1,197
102300000,Choctaw County,Alabama,AL,10886,,,9935,951,,,4462,1303,,,12,3147,,1,4,0,2,4,0,0,0,0,0,1013,250,341,34,335,0,0,49,3,1,53
102500000,Clarke County,Alabama,AL,19542,,,17897,1645,,,8226,2169,,,7,6050,,0,0,0,3,4,0,0,0,0,0,1264,290,543,36,240,0,1,154,,,154
102700000,Clay County,Alabama,AL,10067,,,9498,569,,,4188,1466,,,6,2716,,1,0,0,5,0,0,0,0,0,0,1001,67,310,44,447,1,0,51,81,,132
