Jurisdiction,State,Category,N_Voters
Autauga County,Alabama,Active,36391
Autauga County,Alabama,Inactive,3379
Baldwin County,Alabama,Active,141301
Baldwin County,Alabama,Inactive,13826
Barbour County,Alabama,Active,15871
Barbour County,Alabama,Inactive,1452
Bibb County,Alabama,Active,13245
Bibb County,Alabama,Inactive,999
Blount County,Alabama,Active,37352
Blount County,Alabama,Inactive,2335
Bullock County,Alabama,Active,6772
Bullock County,Alabama,Inactive,700
Butler County,Alabama,Active,13161
Butler County,Alabama,Inactive,918
Calhoun County,Alabama,Active,69851
Calhoun County,Alabama,Inactive,6317
Chambers County,Alabama,Active,22474
Chambers County,Alabama,Inactive,1893
Cherokee County,Alabama,Active,16808
Cherokee County,Alabama,Inactive,1085
Chilton County,Alabama,Active,26080
Chilton County,Alabama,Inactive,2614
Choctaw County,Alabama,Active,9935
Choctaw County,Alabama,Inactive,951
Clarke County,Alabama,Active,17897
Clarke County,Alabama,Inactive,1645
Clay County,Alabama,Active,9498
Clay County,Alabama,Inactive,569
Cleburne County,Alabama,Active,9635
Cleburne County,Alabama,Inactive,1294
Coffee County,Alabama,Active,30687
Coffee County,Alabama,Inactive,3434
Colbert County,Alabama,Active,38087
Colbert County,Alabama,Inactive,2693
Conecuh County,Alabama,Active,9296
Conecuh County,Alabama,Inactive,1085
Coosa County,Alabama,Active,7506
Coosa County,Alabama,Inactive,713
Covington County,Alabama,Active,24396
Covington County,Alabama,Inactive,2433
Crenshaw County,Alabama,Active,9450
Crenshaw County,Alabama,Inactive,890
Cullman County,Alabama,Active,54465
Cullman County,Alabama,Inactive,3837
Dale County,Alabama,Active,29544
Dale County,Alabama,Inactive,3473
Dallas County,Alabama,Active,29076
Dallas County,Alabama,Inactive,2810
Dekalb County,Alabama,Active,39369
Dekalb County,Alabama,Inactive,2754
Elmore County,Alabama,Active,52788
Elmore County,Alabama,Inactive,3616
Escambia County,Alabama,Active,23458
Escambia County,Alabama,Inactive,2232
Etowah County,Alabama,Active,67705
Etowah County,Alabama,Inactive,4666
Fayette County,Alabama,Active,11994
Fayette County,Alabama,Inactive,765
Franklin County,Alabama,Active,17904
Franklin County,Alabama,Inactive,727
Geneva County,Alabama,Active,17312
Geneva County,Alabama,Inactive,1404
Greene County,Alabama,Active,6568
Greene County,Alabama,Inactive,549
Hale County,Alabama,Active,11311
Hale County,Alabama,Inactive,987
Henry County,Alabama,Active,12309
Henry County,Alabama,Inactive,860
Houston County,Alabama,Active,66714
Houston County,Alabama,Inactive,7840
Jackson County,Alabama,Active,34708
Jackson County,Alabama,Inactive,3059
Jefferson County,Alabama,Active,445966
Jefferson County,Alabama,Inactive,35016
Lamar County,Alabama,Active,9808
Lamar County,Alabama,Inactive,1106
Lauderdale County,Alabama,Active,58303
Lauderdale County,Alabama,Inactive,5416
Lawrence County,Alabama,Active,22950
Lawrence County,Alabama,Inactive,1502
Lee County,Alabama,Active,100963
Lee County,Alabama,Inactive,11162
Limestone County,Alabama,Active,59941
Limestone County,Alabama,Inactive,3207
Lowndes County,Alabama,Active,9399
Lowndes County,Alabama,Inactive,883
Macon County,Alabama,Active,15301
Macon County,Alabama,Inactive,2369
Madison County,Alabama,Active,242009
Madison County,Alabama,Inactive,26920
Marengo County,Alabama,Active,14277
Marengo County,Alabama,Inactive,1910
Marion County,Alabama,Active,19207
Marion County,Alabama,Inactive,1761
Marshall County,Alabama,Active,55326
Marshall County,Alabama,Inactive,4069
Mobile County,Alabama,Active,252542
Mobile County,Alabama,Inactive,43756
Monroe County,Alabama,Active,14942
Monroe County,Alabama,Inactive,1606
Montgomery County,Alabama,Active,144317
